iteracao,score
1090,-4229.917365740237
1100,-4226.707586646195
1110,-4226.707586646195
1120,-4226.707586646195
1130,-4226.707586646195
1140,-4226.707586646195
1150,-4226.707586646195
1160,-4219.222083892941
1170,-4219.222083892941
1180,-4219.222083892941
1190,-4219.222083892941
1200,-4219.222083892941
1210,-4219.222083892941
1220,-4219.222083892941
1230,-4219.222083892941
1240,-4219.222083892941
1250,-4219.222083892941
1260,-4219.222083892941
1270,-4219.222083892941
1280,-4219.222083892941
1290,-4219.222083892941
1300,-4219.222083892941
1310,-4219.222083892941
1320,-4219.222083892941
1330,-4219.222083892941
1340,-4219.222083892941
1350,-4219.222083892941
1360,-4219.222083892941
1370,-4219.222083892941
1380,-4219.222083892941
1390,-4219.222083892941
1400,-4219.222083892941
1410,-4219.222083892941
1420,-4219.222083892941
1430,-4219.222083892941
1440,-4219.222083892941
1450,-4219.222083892941
1460,-4219.222083892941
1470,-4219.222083892941
1480,-4219.222083892941
1490,-4219.222083892941
1500,-4219.222083892941
1510,-4219.222083892941
1520,-4219.222083892941
1530,-4219.222083892941
1540,-4219.222083892941
1550,-4219.222083892941
1560,-4219.222083892941
1570,-4219.222083892941
1580,-4219.222083892941
1590,-4219.222083892941
1600,-4219.222083892941
1610,-4219.222083892941
1620,-4219.222083892941
1630,-4219.222083892941
1640,-4219.222083892941
1650,-4219.222083892941
1660,-4219.222083892941
1670,-4219.222083892941
1680,-4219.222083892941
1690,-4219.222083892941
1700,-4219.222083892941
1710,-4219.222083892941
1720,-4219.222083892941
1730,-4219.222083892941
1740,-4218.774866453958
1750,-4218.774866453958
1760,-4218.774866453958
1770,-4218.774866453958
1780,-4218.774866453958
1790,-4218.774866453958
1800,-4218.774866453958
1810,-4218.774866453958
1820,-4218.774866453958
1830,-4218.774866453958
1840,-4218.774866453958
1850,-4218.774866453958
1860,-4218.774866453958
1870,-4218.774866453958
1880,-4218.774866453958
1890,-4218.774866453958
1900,-4218.774866453958
1910,-4218.774866453958
1920,-4218.774866453958
1930,-4218.774866453958
1940,-4218.774866453958
1950,-4218.774866453958
1960,-4218.774866453958
1970,-4218.774866453958
1980,-4218.774866453958
1990,-4218.774866453958
2000,-4218.774866453958
2010,-4218.774866453958
2020,-4218.774866453958
2030,-4218.774866453958
2040,-4218.774866453958
2050,-4218.774866453958
2060,-4218.774866453958
2070,-4218.774866453958
2080,-4218.774866453958
2090,-4218.774866453958
2100,-4218.774866453958
2110,-4218.774866453958
2120,-4218.774866453958
2130,-4218.774866453958
2140,-4218.774866453958
2150,-4218.774866453958
2160,-4218.774866453958
2170,-4218.774866453958
2180,-4218.774866453958
2190,-4218.774866453958
2200,-4218.774866453958
2210,-4218.774866453958
2220,-4218.774866453958
2230,-4218.361183674951
