iteracao,score
220,-4561.060154146141
230,-4479.226411144439
240,-4428.963522385254
250,-4400.322016330989
260,-4398.33345737411
270,-4363.146768028302
280,-4362.490709355113
290,-4362.490709355113
300,-4350.063760790553
310,-4350.063760790553
320,-4338.491306395428
330,-4338.491306395428
340,-4312.651629258517
350,-4312.651629258517
360,-4304.832349761408
370,-4304.832349761408
380,-4301.121994412263
390,-4301.121994412263
400,-4286.751523123982
410,-4284.184626284657
420,-4284.184626284657
430,-4284.184626284657
440,-4284.184626284657
450,-4284.184626284657
460,-4268.710927010999
470,-4264.702187121146
480,-4262.35931614796
490,-4262.35931614796
500,-4260.865526205616
510,-4245.694418686593
520,-4245.694418686593
530,-4245.694418686593
540,-4244.611684404939
550,-4244.611684404939
560,-4244.611684404939
570,-4244.116054718746
580,-4238.487838897154
590,-4238.487838897154
600,-4236.887659000217
610,-4236.887659000217
620,-4236.887659000217
630,-4236.887659000217
640,-4236.887659000217
650,-4236.887659000217
660,-4236.887659000217
670,-4236.887659000217
680,-4236.887659000217
690,-4236.887659000217
310,-4571.088168210651
320,-4527.9498702272
330,-4518.622298117882
340,-4467.777696004274
350,-4428.675423752086
360,-4394.589018607814
370,-4394.589018607814
380,-4373.90881047774
390,-4358.02812143718
400,-4347.104958740852
410,-4318.62215919119
420,-4318.034297963661
430,-4304.192711945419
440,-4288.822982145349
450,-4288.34864840512
460,-4281.836614035811
470,-4276.67305267757
480,-4270.44970884157
490,-4263.3442443540525
500,-4254.769926345318
510,-4254.769926345318
520,-4250.33293925687
530,-4250.096449981072
540,-4237.355099711676
550,-4237.355099711676
560,-4237.355099711676
570,-4237.355099711676
580,-4237.355099711676
590,-4236.4420212395935
600,-4236.4420212395935
610,-4236.4420212395935
620,-4236.4420212395935
630,-4236.4420212395935
640,-4236.4420212395935
650,-4229.759664071982
660,-4228.319545628385
670,-4228.319545628385
680,-4228.319545628385
690,-4228.319545628385
700,-4227.3998397489995
710,-4227.3998397489995
720,-4227.3998397489995
730,-4227.3998397489995
740,-4227.3998397489995
750,-4227.3998397489995
760,-4225.1629223714435
770,-4225.1629223714435
780,-4225.1629223714435
790,-4225.1629223714435
800,-4225.1629223714435
810,-4225.1629223714435
820,-4221.90690795859
830,-4221.90690795859
840,-4221.90690795859
850,-4216.374162280527
860,-4216.374162280527
870,-4216.374162280527
880,-4216.374162280527
890,-4216.374162280527
900,-4216.374162280527
910,-4216.374162280527
920,-4216.374162280527
930,-4213.1553286184335
940,-4213.1553286184335
950,-4213.1553286184335
960,-4213.1553286184335
970,-4213.080932341147
980,-4211.7465996498
990,-4211.7465996498
1000,-4211.7465996498
1010,-4211.7465996498
1020,-4211.7465996498
1030,-4211.073879642655
1040,-4211.073879642655
1050,-4211.073879642655
1060,-4211.073879642655
1070,-4211.073879642655
1080,-4211.073879642655
1090,-4211.073879642655
1100,-4211.073879642655
1110,-4211.073879642655
1120,-4211.073879642655
410,-4538.325356339796
420,-4522.804850583644
430,-4505.8431051435555
440,-4461.321941118016
450,-4408.52199232715
460,-4408.52199232715
470,-4328.206875389966
480,-4305.0208486997735
490,-4293.329572323568
500,-4290.380703683928
510,-4279.149784536209
520,-4260.756618582583
530,-4258.36804115404
540,-4240.060447832117
550,-4237.690316953758
560,-4237.690316953758
570,-4237.690316953758
580,-4237.690316953758
590,-4237.690316953758
600,-4237.690316953758
610,-4228.472069125368
620,-4228.472069125368
630,-4228.472069125368
640,-4228.472069125368
650,-4228.472069125368
660,-4228.472069125368
670,-4228.472069125368
680,-4227.536678711257
690,-4227.536678711257
700,-4227.536678711257
710,-4227.536678711257
720,-4227.536678711257
730,-4227.536678711257
740,-4225.740167451822
750,-4224.706024286047
760,-4224.706024286047
770,-4224.706024286047
780,-4224.706024286047
790,-4224.706024286047
800,-4224.706024286047
810,-4224.64803233907
820,-4224.64803233907
830,-4220.856020240563
840,-4220.856020240563
850,-4220.856020240563
860,-4220.856020240563
870,-4220.856020240563
880,-4220.856020240563
890,-4220.856020240563
900,-4220.856020240563
910,-4220.856020240563
920,-4220.856020240563
510,-4595.363401444342
520,-4496.418048414337
530,-4482.6108929819575
540,-4438.64697839174
550,-4392.1622620902945
560,-4389.9073750675625
570,-4387.773480526786
580,-4383.78018483952
590,-4383.78018483952
600,-4366.977420397029
610,-4353.227069165251
620,-4353.227069165251
630,-4319.91218882075
640,-4312.348615593288
650,-4312.348615593288
660,-4306.980073478614
670,-4285.728689194181
680,-4279.190986365516
690,-4279.190986365516
700,-4279.190986365516
710,-4272.5731214778725
720,-4272.5731214778725
730,-4272.5731214778725
740,-4272.5731214778725
750,-4272.5731214778725
760,-4272.5731214778725
770,-4272.5731214778725
780,-4272.5731214778725
790,-4261.122835377992
800,-4261.122835377992
810,-4257.244142929581
820,-4257.244142929581
830,-4257.244142929581
840,-4257.244142929581
850,-4257.244142929581
